,ASIN,name,price,ratings,ratings_count,details_link
0,B007K9OIMU,"Mr. Coffee Espresso and Cappuccino Machine, Programmable Coffee Maker with Automatic Milk Frother and 15-Bar Pump, Stainless Steel",199.99,4.4 out of 5 stars,12,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTk0NjM5MDMxOTQ0MjQxOjE2ODg0MDAwNDc6c3BfYXRmOjIwMDEyNjYzMDE0MzI5ODo6MDo6&url=%2FMr-Coffee-Espresso-Cappuccino-Barista%2Fdp%2FB007K9OIMU%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400047%26sprefix%3Despress%252Caps%252C162%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,B0B7C2G3FQ,"Chefman 6-in-1 Espresso Machine with Steamer, One-Touch Single or Double Shot Espresso Maker, Coffee Maker, Cappuccino Machine, Latte Maker, Built-In Milk Frother Coffee Machine, Stainless Steel",99.99,4.1 out of 5 stars,2,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTk0NjM5MDMxOTQ0MjQxOjE2ODg0MDAwNDc6c3BfYXRmOjIwMDEyNjEyNTgyNDc5ODo6MDo6&url=%2FChefman-Easy-Brew-One-Touch-Reservoir-Stainless%2Fdp%2FB0B7C2G3FQ%2Fref%3Dsr_1_3_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400047%26sprefix%3Despress%252Caps%252C162%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
3,B0BZKD9TMX,"Espresso Machines with Steamer, 20 Bar Pump Espresso and Cappuccino latte Maker, Espresso Machine Easy to Use for Home Barista, 1350W, Stainless Steel",169.99,4.5 out of 5 stars,43,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTk0NjM5MDMxOTQ0MjQxOjE2ODg0MDAwNDc6c3BfYXRmOjMwMDAwNDU4MjY0MTQwMjo6MDo6&url=%2FILAVIE-Espresso-Machines-Cappuccino-Stainless%2Fdp%2FB0BZKD9TMX%2Fref%3Dsr_1_4_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400047%26sprefix%3Despress%252Caps%252C162%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
6,B08NFMKHSK,"Mr. Coffee Espresso and Cappuccino Machine, Single Serve Coffee Maker with Milk Frothing Pitcher and Steam Wand, Stainless Steel",54.99,4.3 out of 5 stars,2,https://www.amazon.com/Mr-Coffee-Cappuccino-Stainless-Measuring/dp/B08NFMKHSK/ref=sr_1_7?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-7
8,B08C96BG9H,"De'Longhi Stilosa Manual Espresso Machine, Latte & Cappuccino Maker, 15 Bar Pump Pressure + Milk Frother Steam Wand, Black / Stainless, EC260BK, 13.5 x 8.07 x 11.22 inches",107.99,4.4 out of 5 stars,7,https://www.amazon.com/DeLonghi-Espresso-Cappuccino-Stainless-EC260BK/dp/B08C96BG9H/ref=sr_1_9?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-9
9,B0BY1QDYW8,"SHARDOR Espresso Machine, 20 Bar Expresso Coffee Machines with Milk Frother Steam Wand, Manual Latte & Cappuccino Maker, Temperature Display, 60 Oz Removable Water Tank, 1350W, Stainless Steel",159.99,4.5 out of 5 stars,15,https://www.amazon.com/SHARDOR-Cappuccino-Temperature-Removable-Stainless/dp/B0BY1QDYW8/ref=sr_1_10?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-10
10,B0BNKNC54B,"Espresso Machine, 20 Bar Espresso Maker with Milk Frother Steam Wand for Latte and Cappuccino, Stainless Steel Coffee machines with 1.8L/60oz Water Tank for home, Sliver Coffee maker",159.99,4.2 out of 5 stars,41,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTk0NjM5MDMxOTQ0MjQxOjE2ODg0MDAwNDc6c3BfbXRmOjIwMDEzMDUxODEwNjY5ODo6MDo6&url=%2FFrossvt-Bar-Espresso-Machine-Cappuccino%25EF%25BC%258C%2Fdp%2FB0BNKNC54B%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400047%26sprefix%3Despress%252Caps%252C162%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
12,B0BR33KYLB,"Espresso Machine, 20 BAR Espresso Maker with Milk Frother/Steam Wand, Stainless Steel Compact Espresso Coffee Machine with 48oz Removable Water Tank for Cappuccino, Latte, Gifts",99.99,4.3 out of 5 stars,64,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTk0NjM5MDMxOTQ0MjQxOjE2ODg0MDAwNDc6c3BfbXRmOjIwMDE3ODYzMDk5OTE5ODo6MDo6&url=%2FMAttinata-Espresso-Stainless-Removable-Cappuccino%2Fdp%2FB0BR33KYLB%2Fref%3Dsr_1_13_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400047%26sprefix%3Despress%252Caps%252C162%26sr%3D8-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
13,B08RYPGQ5W,"Gevi Espresso Machines 20 Bar Fast Heating Automatic Cappuccino Coffee Maker with Foaming Milk Frother Wand for Espresso, Latte Macchiato, 1.2L Removable Water Tank, 1350W, White",159.99,4.1 out of 5 stars,1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTk0NjM5MDMxOTQ0MjQxOjE2ODg0MDAwNDc6c3BfbXRmOjIwMDE0NDE4NzQ5NjQ5ODo6MDo6&url=%2FGevi-Automatic-Cappuccino-Macchiato-Removable%2Fdp%2FB08RYPGQ5W%2Fref%3Dsr_1_14_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400047%26sprefix%3Despress%252Caps%252C162%26sr%3D8-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
14,B09X3WGJ3R,"CASABREWS Espresso Machine 20 Bar, Professional Espresso Maker with Milk Frother Steam Wand, Compact Espresso Coffee Machine with 34oz Removable Water Tank for Cappuccino, Latte, Gift for Dad or Mom",139.99,4.4 out of 5 stars,613,https://www.amazon.com/Espresso-Professional-Removable-Cappuccino-Macchiato/dp/B09X3WGJ3R/ref=sr_1_15?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-15
