,ASIN,name,price,ratings,ratings_count,details_link,rating_num
3,B0BZKD9TMX,"Espresso Machines with Steamer, 20 Bar Pump Espresso and Cappuccino latte Maker, Espresso Machine Easy to Use for Home Barista, 1350W, Stainless Steel",169.99,4.5 out of 5 stars,43,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTk0NjM5MDMxOTQ0MjQxOjE2ODg0MDAwNDc6c3BfYXRmOjMwMDAwNDU4MjY0MTQwMjo6MDo6&url=%2FILAVIE-Espresso-Machines-Cappuccino-Stainless%2Fdp%2FB0BZKD9TMX%2Fref%3Dsr_1_4_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400047%26sprefix%3Despress%252Caps%252C162%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.5
4,B0B5R7LCXG,SOWTECH Espresso Coffee Machine Cappuccino Latte Maker 3.5 Bar 1-4 Cup with Steam Milk Frother Black,49.99,4.5 out of 5 stars,1,https://www.amazon.com/SOWTECH-Espresso-Machine-Cappuccino-Frother/dp/B0B5R7LCXG/ref=sr_1_5?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-5,4.5
5,B00CH9QWOU,"Breville Barista Express Espresso Machine, Brushed Stainless Steel, BES870XL, Large",719.99,4.6 out of 5 stars,22,https://www.amazon.com/Breville-BES870XL-Barista-Express-Espresso/dp/B00CH9QWOU/ref=sr_1_6?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-6,4.6
7,B0BTRWH4R6,"Yabano Espresso Machine, 3.5Bar Espresso Coffee Maker, Espresso and Cappuccino Machine with Milk Frother, Espresso Maker with Steamer,Green",49.99,4.5 out of 5 stars,42,https://www.amazon.com/Yabano-Espresso-Machine-Cappuccino-Frother/dp/B0BTRWH4R6/ref=sr_1_8?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-8,4.5
9,B0BY1QDYW8,"SHARDOR Espresso Machine, 20 Bar Expresso Coffee Machines with Milk Frother Steam Wand, Manual Latte & Cappuccino Maker, Temperature Display, 60 Oz Removable Water Tank, 1350W, Stainless Steel",159.99,4.5 out of 5 stars,15,https://www.amazon.com/SHARDOR-Cappuccino-Temperature-Removable-Stainless/dp/B0BY1QDYW8/ref=sr_1_10?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-10,4.5
15,B0BGNG7Y3Q,"Espresso Machine 15 Bar, Espresso and Cappuccino Machine with Milk Frother, Espresso Maker with Steamer, Digital Touch Screen Coffee Machine with 50 oz Water Tank",80.99,4.6 out of 5 stars,1,https://www.amazon.com/Kwister-Espresso-Machine-Cappuccino-Frother/dp/B0BGNG7Y3Q/ref=sr_1_16?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-16,4.6
21,B0BPSDHNWT,"Espresso Machine, Stainless Steel Espresso Machine with Milk Frother for Latte, Cappuccino, Machiato,for Home Espresso Maker, 1.8L Water Tank, 20 Bar",169.99,5.0 out of 5 stars,4,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTk0NjM5MDMxOTQ0MjQxOjE2ODg0MDAwNDc6c3BfbXRmOjIwMDE3NDk0NDkyMzg5ODo6MDo6&url=%2FSUMSATY-Espresso-Stainless-Cappuccino-Machiato%2Fdp%2FB0BPSDHNWT%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400047%26sprefix%3Despress%252Caps%252C162%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,5.0
24,B0B5R9GP7J,SOWTECH Espresso Coffee Machine Cappuccino Latte Maker 3.5 Bar 1-4 Cup with Steam Milk Frother White,49.99,4.5 out of 5 stars,1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTMyNzk1OTM4MTAwNDgyOjE2ODg0MDAwNjg6c3BfYXRmX25leHQ6MjAwMTc5NjI5NzY1NTk4OjowOjo&url=%2FSOWTECH-Espresso-Machine-Cappuccino-Frother%2Fdp%2FB0B5R9GP7J%2Fref%3Dsr_1_51_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400068%26sprefix%3Despress%252Caps%252C162%26sr%3D8-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.5
27,B0C58JJKH8,"Espresso Coffee Machine, 20 Bar Espresso Machine with Steamer, Compact Espresso Maker with Milk Frother for Home, Stainless Steel Cappuccino Machine for Cappuccino, Latte, 1250W",139.99,4.7 out of 5 stars,27,https://www.amazon.com/ILAVIE-Espresso-Machine-Stainless-Cappuccino/dp/B0C58JJKH8/ref=sr_1_54?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400068&sprefix=espress%2Caps%2C162&sr=8-54,4.7
28,B07RQ3NL76,"Gaggia RI9380/46 Classic Pro Espresso Machine, 21 Liters,Solid, Brushed Stainless Steel",449.0,4.6 out of 5 stars,1,https://www.amazon.com/Gaggia-RI9380-46-Espresso-Stainless/dp/B07RQ3NL76/ref=sr_1_55?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400068&sprefix=espress%2Caps%2C162&sr=8-55,4.6
