,ASIN,name,price,ratings,ratings_count,details_link,rating_num
14,B09X3WGJ3R,"CASABREWS Espresso Machine 20 Bar, Professional Espresso Maker with Milk Frother Steam Wand, Compact Espresso Coffee Machine with 34oz Removable Water Tank for Cappuccino, Latte, Gift for Dad or Mom",139.99,4.4 out of 5 stars,613,https://www.amazon.com/Espresso-Professional-Removable-Cappuccino-Macchiato/dp/B09X3WGJ3R/ref=sr_1_15?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400047&sprefix=espress%2Caps%2C162&sr=8-15,4.4
18,B0BCR23CYR,"wirsh Espresso Machine with Coffee Grinder-15 Bar Bean to Cup Espresso Coffee Maker with Conical Coffee Grinder,Tamper and Frothing Pitcher for Latte,Cappuccino,Expresso Coffee Machine,Touch Control",499.99,4.3 out of 5 stars,832,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTk0NjM5MDMxOTQ0MjQxOjE2ODg0MDAwNDc6c3BfbXRmOjIwMDA5NzM4MjUwMjM5ODo6MDo6&url=%2Fwirsh-Espresso-Grinder-15-Frothing-Cappuccino%2Fdp%2FB0BCR23CYR%2Fref%3Dsr_1_19_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400047%26sprefix%3Despress%252Caps%252C162%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.3
26,B0B3SY5GBQ,"Gevi 20 Bar Compact Professional Espresso Coffee Machine with Milk Frother/Steam Wand for Espresso, Latte and Cappuccino, Stainless Steel, 35 Oz Removable Water Tank",179.99,4.3 out of 5 stars,128,https://www.amazon.com/Gevi-Professional-Cappuccino-Stainless-Removable/dp/B0B3SY5GBQ/ref=sr_1_53?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400068&sprefix=espress%2Caps%2C162&sr=8-53,4.3
30,B09ZHXR4H2,"Neretva 20 Bar Espresso Coffee Machine with Steam Wand for Latte Espresso and Cappuccino, Compact Espresso Maker For Home Barista, 1350W Premium Italian High Pressure - Beige",119.99,4.0 out of 5 stars,212,https://www.amazon.com/Neretva-Espresso-Machine-Cappuccino-Pressure/dp/B09ZHXR4H2/ref=sr_1_57?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400068&sprefix=espress%2Caps%2C162&sr=8-57,4.0
32,B0C9CHX4QJ,"JASSY Espresso Coffee Machine 20 Bar Cappuccino Machines with Temperature Dial for Barista Brewing with Powful Milk Frother for Cappuccino/Mocha/Latte,1200W",159.99,4.8 out of 5 stars,180,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODUxNjg3NTk0OTg0MzI5OjE2ODg0MDAxNDM6c3BfYXRmX25leHQ6MzAwMDA1MjcyMDgzNTAyOjowOjo&url=%2FJASSY-Espresso-Cappuccino-Machines-Temperature%2Fdp%2FB0C9CHX4QJ%2Fref%3Dsr_1_145_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400143%26sprefix%3Despress%252Caps%252C162%26sr%3D8-145-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.8
33,B0B8CDCZVZ,"CASABREWS Espresso Machine 20 Bar, Compact Espresso Maker With Milk Frother Steam Wand, Professional Cappuccino Machine With 49 oz Removable Water Tank for Lattes, Macchiatos, Gift for Dad Mom Wife",149.99,4.3 out of 5 stars,233,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODUxNjg3NTk0OTg0MzI5OjE2ODg0MDAxNDM6c3BfYXRmX25leHQ6MjAwMDg3NTgzMjc1MTk4OjowOjo&url=%2FProfessional-Cappuccino-Removable-Cappuccinos-Macchiatos%2Fdp%2FB0B8CDCZVZ%2Fref%3Dsr_1_146_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400143%26sprefix%3Despress%252Caps%252C162%26sr%3D8-146-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.3
34,B0BTS2YD38,"Yabano Espresso Machine, 3.5Bar Espresso Coffee Maker, Espresso and Cappuccino Machine with Milk Frother, Espresso Maker with Steamer, Red",49.99,4.1 out of 5 stars,153,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODUxNjg3NTk0OTg0MzI5OjE2ODg0MDAxNDM6c3BfYXRmX25leHQ6MjAwMTUzMTMwNjE2Njk4OjowOjo&url=%2FYabano-Espresso-Machine-Cappuccino-Frother%2Fdp%2FB0BTS2YD38%2Fref%3Dsr_1_147_sspa%3Fcrid%3D2QSFJ6NILU9ZH%26keywords%3Despresso%2Bmachine%26qid%3D1688400143%26sprefix%3Despress%252Caps%252C162%26sr%3D8-147-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.1
37,B0B7P81K6S,"Philips 3200 Series Fully Automatic Espresso Machine - LatteGo Milk Frother & Iced Coffee, 5 Coffee Varieties, Intuitive Touch Display, Black, (EP3241/74)",799.0,4.1 out of 5 stars,231,https://www.amazon.com/PHILIPS-Automatic-Espresso-EP3241-74/dp/B0B7P81K6S/ref=sr_1_150?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400143&sprefix=espress%2Caps%2C162&sr=8-150,4.1
39,B0BBTQFKZQ,"Espresso Machines 15 Bar with Adjustable Milk Frother Wand Expresso Coffee Machine for Cappuccino, Latte, Mocha, Machiato, 1.5L Removable Water Tank, Double Temperature Control System, 1100W, Black",139.99,3.8 out of 5 stars,144,https://www.amazon.com/Espresso-Adjustable-Cappuccino-Removable-Temperature/dp/B0BBTQFKZQ/ref=sr_1_152?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400143&sprefix=espress%2Caps%2C162&sr=8-152,3.8
46,B0B38KRTV6,"De'Longhi Magnifica Evo with LatteCrema System, Fully Automatic Machine Bean to Cup Espresso Cappuccino and Iced Coffee Maker, Colored Touch Display,Black, Silver",851.4,3.9 out of 5 stars,192,https://www.amazon.com/DeLonghi-ECAM29084SB-Magnifica-LatteCrema-Espresso/dp/B0B38KRTV6/ref=sr_1_198?crid=2QSFJ6NILU9ZH&keywords=espresso+machine&qid=1688400169&sprefix=espress%2Caps%2C162&sr=8-198,3.9
